state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
va,001,Accomack County Public Schools,0070,NANDUA HIGH,51.21%,,58.69%,Y,662,339
va,001,Accomack County Public Schools,0080,CHINCOTEAGUE ELEM,43.85%,,58.69%,Y,244,107
va,001,Accomack County Public Schools,0530,TANGIER COMBINED,34.29%,,58.69%,Y,35,12
va,001,Accomack County Public Schools,0540,ARCADIA HIGH,53.92%,,58.69%,Y,701,378
va,001,Accomack County Public Schools,0580,CHINCOTEAGUE HIGH,37.10%,,58.69%,Y,283,105
va,001,Accomack County Public Schools,0590,PUNGOTEAGUE ELEM,70.99%,,58.69%,Y,486,345
va,001,Accomack County Public Schools,0600,KEGOTANK ELEM,67.13%,,58.69%,Y,581,390
va,001,Accomack County Public Schools,0701,ACCAWMACKE ELEM,58.50%,,58.69%,Y,441,258
va,001,Accomack County Public Schools,0702,METOMPKIN ELEM,69.49%,,58.69%,Y,590,410
va,001,Accomack County Public Schools,0703,NANDUA MIDDLE,60.24%,,58.69%,Y,503,303
va,001,Accomack County Public Schools,0704,ARCADIA MIDDLE,60.36%,,58.69%,Y,560,338
va,002,Albemarle County Public Schools,0030,SCOTTSVILLE ELEM,42.72%,,42.72%,Y,213,91
va,002,Albemarle County Public Schools,0040,MARY CARR GREER ELEM,44.97%,,44.97%,Y,467,210
va,002,Albemarle County Public Schools,0160,AGNOR-HURT ELEM,43.33%,,43.33%,Y,450,195
va,002,Albemarle County Public Schools,0540-0,RED HILL ELEM,42.94%,,42.94%,Y,177,76
va,002,Albemarle County Public Schools,0930,WOODBROOK ELEM,50.78%,,50.78%,Y,577,293
va,003,Alleghany Highlands Public Schools,0090,SHARON ELEM,50.00%,,51.11%,Y,198,99
va,003,Alleghany Highlands Public Schools,0110,CALLAGHAN ELEM,54.98%,,51.11%,Y,251,138
va,003,Alleghany Highlands Public Schools,0260,EDGEMONT PRIMARY,63.00%,,54.71%,Y,327,206
va,003,Alleghany Highlands Public Schools,0310,ALLEGHANY HIGH,42.88%,,51.11%,Y,590,253
va,003,Alleghany Highlands Public Schools,0350,COVINGTON HIGH,46.40%,,54.71%,Y,347,161
va,003,Alleghany Highlands Public Schools,0360,JETER-WATSON ELEM,55.27%,,54.71%,Y,313,173
va,003,Alleghany Highlands Public Schools,1040,CLIFTON MIDDLE,49.38%,,51.11%,Y,405,200
va,003,Alleghany Highlands Public Schools,1041,MT VIEW ELEM,61.67%,,51.11%,Y,454,280
va,004,Amelia County Public Schools,0010,AMELIA COUNTY HIGH,44.51%,,51.49%,Y,501,223
va,004,Amelia County Public Schools,0210,AMELIA COUNTY MIDDLE,54.46%,,51.49%,Y,404,220
va,004,Amelia County Public Schools,0220,AMELIA COUNTY ELEM,54.57%,,51.49%,Y,744,406
va,005,Amherst County Public Schools,0020,MONELISON MIDDLE,49.18%,,48.72%,Y,547,269
va,005,Amherst County Public Schools,0030-0,AMHERST ED CTR,82.69%,,48.72%,Y,52,43
va,005,Amherst County Public Schools,0500,MADISON HEIGHTS ELEM,68.21%,,48.72%,Y,390,266
va,005,Amherst County Public Schools,0670,AMHERST MIDDLE,44.81%,,48.72%,Y,366,164
va,005,Amherst County Public Schools,0740,TEMPERANCE ELEM,40.40%,,48.72%,Y,99,40
va,005,Amherst County Public Schools,0750,AMHERST COUNTY HIGH,39.90%,,48.72%,Y,1163,464
va,005,Amherst County Public Schools,0760,ELON ELEM,36.44%,,48.72%,Y,354,129
va,005,Amherst County Public Schools,0770,CENTRAL ELEM,69.14%,,48.72%,Y,337,233
va,005,Amherst County Public Schools,0780,AMELON ELEM,50.80%,,48.72%,Y,439,223
va,005,Amherst County Public Schools,0790,AMHERST ELEM,46.41%,,48.72%,Y,237,110
va,006,Appomattox County Public Schools,0110-0,APPOMATTOX ELEM,46.17%,,46.67%,Y,496,229
va,006,Appomattox County Public Schools,0160-0,APPOMATTOX MIDDLE,48.88%,,46.67%,Y,538,263
va,006,Appomattox County Public Schools,0250,APPOMATTOX PRIMARY,53.15%,,46.67%,Y,572,304
va,006,Appomattox County Public Schools,0260-0,APPOMATTOX COUNTY HIGH,39.79%,,46.67%,Y,676,269
va,007,Arlington County Public Schools,0090-0,CARLIN SPRINGS ELEM,58.19%,,46.78%,Y,574,334
va,007,Arlington County Public Schools,0150,BARCROFT ELEM,40.79%,,46.78%,Y,429,175
va,007,Arlington County Public Schools,0200,DR. CHARLES R. DREW ELEM,44.86%,,46.78%,Y,428,192
va,007,Arlington County Public Schools,0250-0,BARRETT ELEM,44.55%,,46.78%,Y,514,229
va,007,Arlington County Public Schools,0510,RANDOLPH ELEM,42.21%,,46.78%,Y,443,187
va,008,Augusta County Public Schools,0030-1,CASSELL ELEM,45.98%,,45.98%,Y,646,297
va,008,Augusta County Public Schools,0370,CRAIGSVILLE ELEM,61.97%,,61.97%,Y,142,88
va,008,Augusta County Public Schools,0640,WILSON ELEM,41.59%,,41.59%,Y,666,277
va,008,Augusta County Public Schools,0740-0,RIVERHEADS ELEM,43.82%,,43.82%,Y,712,312
va,009,Bath County Public Schools,0120,MILLBORO ELEM,62.24%,,62.24%,Y,143,89
va,009,Bath County Public Schools,0140,BATH COUNTY HIGH,48.13%,,48.13%,Y,187,90
va,009,Bath County Public Schools,0150-0,VALLEY ELEM,69.44%,,62.50%,Y,180,125
va,010,Bedford County Public Schools,0030-2,BIG ISLAND ELEM,40.00%,,43.20%,Y,145,58
va,010,Bedford County Public Schools,0180,MONTVALE ELEM,50.00%,,53.92%,Y,248,124
va,010,Bedford County Public Schools,0480,BEDFORD ELEM,59.34%,,53.92%,Y,423,251
va,010,Bedford County Public Schools,0490,LIBERTY MIDDLE,51.12%,,53.92%,Y,536,274
va,010,Bedford County Public Schools,0640-0,STEWARTSVILLE ELEM,60.29%,,53.92%,Y,340,205
va,010,Bedford County Public Schools,0970,MONETA ELEM,43.30%,,43.20%,Y,224,97
va,010,Bedford County Public Schools,0980,HUDDLESTON ELEM,60.27%,,53.92%,Y,219,132
va,010,Bedford County Public Schools,1180,LIBERTY HIGH,42.86%,,43.20%,Y,714,306
va,010,Bedford County Public Schools,1190,STAUNTON RIVER HIGH,42.38%,,43.20%,Y,899,381
va,010,Bedford County Public Schools,1191,STAUNTON RIVER MIDDLE,48.35%,,53.92%,Y,606,293
va,010,Bedford County Public Schools,1200,BEDFORD PRIMARY,60.35%,,60.79%,Y,285,172
va,010,Bedford County Public Schools,1214,GOODVIEW ELEM,46.08%,,43.20%,Y,497,229
va,010,Bedford County Public Schools,5632,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,63.64%,,60.79%,Y,44,28
va,011,Bland County Public Schools,0250-1,BLAND COUNTY ELEM,47.31%,,42.21%,Y,353,167
va,011,Bland County Public Schools,0260-1,BLAND COUNTY HIGH,37.37%,,42.21%,Y,372,139
va,012,Botetourt County Public Schools,0030-3,EAGLE ROCK ELEM,44.88%,,44.88%,Y,127,57
va,013,Brunswick County Public Schools,0650,BRUNSWICK HIGH,62.91%,,62.50%,Y,488,307
va,013,Brunswick County Public Schools,0660,JAMES S RUSSELL MIDDLE,68.90%,,62.50%,Y,344,237
va,013,Brunswick County Public Schools,0690,MEHERRIN POWELLTON ELEM,67.79%,,62.50%,Y,208,141
va,013,Brunswick County Public Schools,0700,RED OAK-STURGEON ELEM,65.28%,,62.50%,Y,193,126
va,013,Brunswick County Public Schools,0720,TOTARO ELEM,75.93%,,62.50%,Y,295,224
va,014,Buchanan County Public Schools,0090-1,COUNCIL ELEM/MIDDLE,68.16%,,61.04%,Y,201,137
va,014,Buchanan County Public Schools,0120-0,HURLEY ELEM/MIDDLE,63.09%,,61.04%,Y,382,241
va,014,Buchanan County Public Schools,0990,GRUNDY HIGH,54.27%,,61.04%,Y,363,197
va,014,Buchanan County Public Schools,1000,COUNCIL HIGH,70.25%,,61.04%,Y,121,85
va,014,Buchanan County Public Schools,1020,HURLEY HIGH,60.37%,,61.04%,Y,217,131
va,014,Buchanan County Public Schools,1040-0,RIVERVIEW ELEM/MIDDLE,57.92%,,61.04%,Y,720,417
va,014,Buchanan County Public Schools,1041-0,TWIN VALLEY ELEM/MIDDLE,68.27%,,61.04%,Y,312,213
va,014,Buchanan County Public Schools,1042,TWIN VALLEY HIGH,57.49%,,61.04%,Y,207,119
va,015,Buckingham County Public Schools,0020-0,BUCKINGHAM CO PRE SCH CTR,64.77%,,58.41%,Y,88,57
va,015,Buckingham County Public Schools,0700-0,BUCKINGHAM COUNTY HIGH,51.53%,,58.41%,Y,590,304
va,015,Buckingham County Public Schools,0721,BUCKINGHAM CO. MIDDLE,58.30%,,58.41%,Y,494,288
va,015,Buckingham County Public Schools,0723,BUCKINGHAM CO PRIMARY,65.88%,,58.41%,Y,337,222
va,015,Buckingham County Public Schools,0724,BUCKINGHAM CO ELEM,60.99%,,58.41%,Y,405,247
va,016,Campbell County Public Schools,0020-1,BROOKVILLE MIDDLE,37.97%,,46.73%,Y,719,273
va,016,Campbell County Public Schools,0030-4,CAMPBELL CO TECH  CTR,42.67%,,46.73%,Y,232,99
va,016,Campbell County Public Schools,0060,TOMAHAWK ELEM,41.83%,,46.73%,Y,679,284
va,016,Campbell County Public Schools,0130,CONCORD ELEM,39.95%,,46.73%,Y,408,163
va,016,Campbell County Public Schools,0200-0,ALTAVISTA HIGH,49.54%,,46.73%,Y,648,321
va,016,Campbell County Public Schools,0211,RUSTBURG MIDDLE,48.58%,,46.73%,Y,599,291
va,016,Campbell County Public Schools,0222,RUSTBURG HIGH,42.86%,,46.73%,Y,721,309
va,016,Campbell County Public Schools,0542,WILLIAM CAMPBELL HIGH,59.79%,,46.73%,Y,378,226
va,016,Campbell County Public Schools,0560,ALTAVISTA ELEM,58.97%,,46.73%,Y,485,286
va,016,Campbell County Public Schools,0650-0,BROOKNEAL ELEM,65.49%,,46.73%,Y,397,260
va,016,Campbell County Public Schools,0690-0,LEESVILLE ROAD ELEM,43.43%,,46.73%,Y,594,258
va,016,Campbell County Public Schools,0710,YELLOW BRANCH ELEM,49.18%,,46.73%,Y,547,269
va,016,Campbell County Public Schools,0720-0,BROOKVILLE HIGH,36.90%,,46.73%,Y,889,328
va,016,Campbell County Public Schools,0821,RUSTBURG ELEM,56.77%,,46.73%,Y,421,239
va,017,Caroline County Public Schools,0450,CAROLINE MIDDLE,45.36%,,46.63%,Y,915,415
va,017,Caroline County Public Schools,0460,CAROLINE HIGH,43.56%,,46.63%,Y,1173,511
va,017,Caroline County Public Schools,0620,BOWLING GREEN ELEM,59.04%,,46.63%,Y,752,444
va,017,Caroline County Public Schools,0630,MADISON ELEM,52.46%,,46.63%,Y,448,235
va,017,Caroline County Public Schools,9020,LEWIS & CLARK ELEM,38.57%,,46.63%,Y,892,344
va,018,Carroll County Public Schools,0450-0,CARROLL COUNTY MIDDLE,51.33%,,53.11%,Y,750,385
va,018,Carroll County Public Schools,1110,ST PAUL,64.10%,,53.11%,Y,312,200
va,018,Carroll County Public Schools,1130,OAKLAND ELEM,64.00%,,53.11%,Y,200,128
va,018,Carroll County Public Schools,1150,GLADESBORO ELEM,58.59%,,53.11%,Y,99,58
va,018,Carroll County Public Schools,1160,LAUREL ELEM,54.79%,,53.11%,Y,219,120
va,018,Carroll County Public Schools,1170,HILLSVILLE ELEM,54.77%,,53.11%,Y,482,264
va,018,Carroll County Public Schools,1180-0,FANCY GAP ELEM,55.63%,,53.11%,Y,142,79
va,018,Carroll County Public Schools,1210,GLADEVILLE ELEM,59.70%,,53.11%,Y,263,157
va,018,Carroll County Public Schools,1230,CARROLL COUNTY HIGH,43.27%,,53.11%,Y,936,405
va,018,Carroll County Public Schools,1240,CARROLL COUNTY ED CENTER,69.57%,,53.11%,Y,69,48
va,019,Charles City County Public Schools,0080-0,CHARLES CITY CO ELEM,58.55%,,54.53%,Y,304,178
va,019,Charles City County Public Schools,0100,CHARLES CITY CO HIGH,49.81%,,54.53%,Y,259,129
va,020,Charlotte County Public Schools,0100-0,EUREKA ELEM,55.76%,,52.84%,Y,425,237
va,020,Charlotte County Public Schools,0210-0,CENTRAL MIDDLE,47.38%,,52.84%,Y,363,172
va,020,Charlotte County Public Schools,0450-1,PHENIX ELEM,58.56%,,52.84%,Y,222,130
va,020,Charlotte County Public Schools,0460-0,RANDOLPH-HENRY HIGH,49.19%,,52.84%,Y,494,243
va,020,Charlotte County Public Schools,0470,BACON DISTRICT ELEM,60.36%,,52.84%,Y,169,102
va,021,Chesterfield County Public Schools,0010-0,LLOYD C BIRD HIGH,42.40%,,50.12%,Y,1783,756
va,021,Chesterfield County Public Schools,0030-5,CARVER COLLEGE AND CAREER ACADEMY,57.01%,,50.12%,Y,214,122
va,021,Chesterfield County Public Schools,0060-0,HOPKINS ROAD ELEM,54.28%,,50.12%,Y,783,425
